Sample_ID	lib_type	seq_reads_pairs	seq_retained_reads	seq_retained_nts	seq_retained_length	hits_raw	hits_raw_frac	hits_clonality	hits_unique	hits_unique_frac	hits_coverage	hits_length
Aizawl_01	PE	66946410	76168099	11926990929	156.587745861952	63870744	0.8385497975996486	0.14616424383595716	54535125	0.715983800514701	7.90375451095268	151.12110699297014
Aizawl_02	PE	52251353	56355388	9996817954	177.38885861277365	47386381	0.8408491660105331	0.14016596878330922	40744423	0.722990728056029	6.677253620234296	170.8825423543242
Aizawl_03	PE	51630771	56462164	9739133503	172.48955429692705	47539815	0.8419764959770227	0.1371337477859348	41020502	0.7265131035360246	6.540077816024719	166.24551640055503
Aizawl_04	PE	55772302	60731737	10511455567	173.08010747329686	51013530	0.8399814087319781	0.14720222262603666	43504225	0.7163342784020816	6.960493006534272	166.8309264445005
Aizawl_05	PE	54072925	60113514	11416620981	189.9177110324976	50795699	0.8449963347675865	0.14687838039200918	43334909	0.7208846416797394	7.59284970771315	182.69847030254522
Aizawl_08	PE	86309529	95289515	18774073151	197.02139475681034	57774590	0.6063058459264904	0.13954089505438294	49712672	0.5217013855092032	8.21420330425721	172.29248598828082
Aizawl_09	PE	51132842	57750399	9073351618	157.11322822202493	48790240	0.8448468035692706	0.1427135837003466	41827210	0.7242756885541172	6.082993882015595	151.64443569150322
Aizawl_10	PE	70769609	74552127	12113603193	162.4850112324763	62911617	0.843860792865105	0.16676802314586825	52419971	0.7031317966286864	7.887242468034127	156.8904151244189
Aizawl_11	PE	63598687	68156773	10793492596	158.3627293504638	56679785	0.8316089877083822	0.15409086325927313	47945948	0.7034656408982274	7.027955734374634	152.8428417767441
Aizawl_12	PE	63216195	65603032	11151636700	169.9866051922722	55502793	0.8460400580265863	0.1542564713815393	46941128	0.7155329040279723	7.3914647899726225	164.18935143612228
Aizawl_13	PE	57053484	60034774	9861926895	164.2702426930099	50182035	0.8358828001917689	0.15221716297475785	42543468	0.7086470917671814	6.469841121971086	158.5728103548117
Aizawl_14	PE	69262531	75909680	11471194920	151.11636513287897	63153717	0.8319586777338542	0.13806416176580705	54434452	0.7170950002687404	7.620525635616923	145.97519688450248
Aizawl_15	PE	57243845	59154453	9830506794	166.18371560294878	49324795	0.8338306331731273	0.15287212040110865	41784409	0.7063611762245524	6.431258985945347	160.49064834206462
Aizawl_16	PE	62254075	66277390	11360969741	171.41546673760087	55991443	0.8448045856965701	0.14767267205454948	47723037	0.720050035162821	7.563605662867519	165.26040063208885
Aizawl_17	PE	35925763	38774098	6200299861	159.9082939595397	32916987	0.8489426884927149	0.15618495094949003	27775849	0.7163506163315521	4.1140297643059265	154.44294818855042
Eastermar_01	PE	45522503	84236265	13219732755	156.93635935781342	74445168	0.883766249607577	0.14586586734548035	63586159	0.7548549190779055	9.19024275477534	150.706640198223
Eastermar_02	PE	74429750	139727228	21690387223	155.2337903890858	124623942	0.8919087838771124	0.16535341981077756	104016947	0.7444286163037601	14.90194355717132	149.38493687956444
Eastermar_03	PE	59964710	110363092	17326089604	156.9917015735659	96474246	0.8741531634506942	0.16123321658300394	80919393	0.7332106371213304	11.693760291628159	150.6848420378042
Eastermar_04	PE	61331371	115937389	17949386164	154.81965152760168	103370997	0.89161053126701	0.159996425302931	86832007	0.7489560335018413	12.393929074025491	148.832289883614
Eastermar_05	PE	69671960	130976441	20314731969	155.10218336899229	113592885	0.867277230414285	0.18562638848375057	92507048	0.7062876903182916	13.219853331136939	149.0115083879879
Eastermar_06	PE	49753775	94354470	14560972532	154.3220213308389	84103680	0.8913587241812709	0.14604731921361824	71820563	0.7611781720569253	10.217696967507127	148.34475977304717
Eastermar_07	PE	48178135	90987316	14074599377	154.68748827583835	80889461	0.8890190914083014	0.15326491049309876	68491945	0.752763659936952	9.771639026332826	148.76333728002615
Eastermar_08	PE	67618842	126190187	19655184373	155.75842179392285	111315006	0.8821209370265851	0.16675852310514183	92752280	0.735019752367908	13.304916347287678	149.57380807242689
Eastermar_09	PE	58495624	108921064	16976079297	155.8567156211401	96527012	0.886210696582986	0.1613788687460873	80949592	0.7431950168977417	11.622249670629202	149.7074913855032
Eastermar_10	PE	47137927	87767252	13706141204	156.1646387652652	77822163	0.8866879300265662	0.13690031977137418	67168284	0.7653000688685114	9.672946471649754	150.16285878317214
PMON1981JPN0001M	PE	21281345	32488240	5557876920	171.07349982639872	25067377	0.7715831020701645	0.1813853120731379	20520523	0.6316292603108078	3.190459171308887	162.11856929767336
PMON1995JPN0001U	PE	52962381	83133092	14115574619	169.7948949017799	71166720	0.8560576575210267	0.18328089309160234	58123220	0.6991586455126678	9.102405374414053	163.29560769344852
PMON1995JPN0002U	PE	44702571	73068566	12220962826	167.25335523896828	64043548	0.876485628580695	0.1520699321655321	54304450	0.7431985184983649	8.378709144130228	160.88282800028358
PMON2000JPN0001U	PE	23337362	33041841	5839935335	176.743642553089	27494980	0.8321261518085509	0.20333868218853046	21904187	0.6629227166851871	3.568256421201987	169.86226624160943
PMON2001JPN0001F	PE	41368262	62163849	10748921355	172.91273831837538	53235053	0.8563667446010301	0.17896430008250386	43707879	0.7031076695395744	6.982749770913487	166.58455904483492
PMON2001JPN0002U	PE	43329432	70874331	11796404039	166.44113422389836	60702918	0.856486645355425	0.16849517843606798	50474769	0.7121727752181534	7.7402590317610676	159.90025311458086
PMON2001JPN0003U	PE	49516987	75855417	13026058483	171.7221920090427	65034269	0.8573450858493072	0.16381226642218427	54380858	0.71690144423041	8.615910862949463	165.20498135575573
PMON2001JPN0004M	PE	51890081	84186842	14111414395	167.62018932839885	72309501	0.858916895825597	0.16256982605923387	60554158	0.7192829254718927	9.342176906983308	160.86890799472434
PMON2001JPN0005F	PE	59329635	96910246	16197280543	167.13692526381575	84150638	0.8683358207552172	0.1918789255049974	68003904	0.7017204764912061	10.486677384979474	160.79482164729836
PMON2001JPN0007F	PE	53914471	85680504	14451365170	168.66573485608814	73813631	0.8614985621466466	0.16928049508904397	61318423	0.7156636590279628	9.539258382788626	162.2152319050997
PMON2001JPN0008U	PE	58325702	94843382	15817697979	166.7770343638737	80806415	0.8519984557277808	0.18121563739710522	66163029	0.6976030125117217	10.155461704686227	160.04875121421662
PMON2002JPN0001U	PE	47886737	72919515	12579183326	172.50777553855096	62918980	0.862855162983462	0.1517565446865159	53370613	0.7319112448841713	8.498527669494253	166.03876642750947
PMON2002KOR0002U	PE	48006917	73777904	12658022322	171.56928613748636	63303367	0.8580260968107741	0.15623385403812728	53413238	0.7239733728407356	8.46001780401976	165.15448308900503
